,State,District,Market,Commodity,Variety,Arrival_Date,Min,Max
502,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-01,1800,2200
834,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-01,810,1720
1175,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-01,2500,2500
533,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-02,2000,2400
863,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-02,500,890
562,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-03,600,1000
1215,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-03,1400,1500
892,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-03,420,770
921,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-04,400,700
593,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-04,600,1200
1241,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-04,800,900
1259,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-05,1700,1800
612,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-05,800,1600
950,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-05,310,870
642,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-06,800,1600
980,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-06,290,650
1280,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-06,2000,2000
1009,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-07,330,1060
666,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-07,500,1100
1333,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-08,1700,2000
1039,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-08,440,860
1359,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-09,800,1000
714,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-09,800,1000
1060,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-09,320,820
744,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-10,400,600
1089,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-10,300,760
775,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-11,400,600
1405,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-11,600,800
1115,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-11,50,600
1432,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-12,600,800
805,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-12,700,900
1145,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-12,50,700
1185,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-13,2500,2500
845,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-13,550,1280
514,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-13,1500,2300
515,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-14,2000,2500
846,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-14,550,1280
516,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-15,1800,2200
847,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-15,550,1280
848,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-16,550,1280
517,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-16,1400,2200
518,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-17,1800,2600
1186,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-18,2400,2500
849,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-18,770,1500
519,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-18,1800,2500
520,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-19,1800,2500
1187,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-19,2300,2500
850,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-19,710,1420
521,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-20,2000,2500
1188,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-20,2300,2500
851,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-20,700,1340
1189,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-21,2000,2000
522,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-21,1600,2400
852,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-21,770,1390
523,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-22,1700,2100
853,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-22,720,1260
1190,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-22,2000,2000
524,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-23,1600,2200
854,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-23,600,1160
1191,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-23,2000,2000
525,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-24,1700,2100
855,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-24,600,1160
526,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-25,1800,2200
856,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-25,510,1070
1192,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-25,2000,2000
857,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-26,510,1070
527,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-26,1700,2100
528,Andhra_Pradesh,Kurnool,Alur,Onion,Beelary-Red,2016-01-27,1600,2000
1193,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-27,1700,1800
858,Andhra_Pradesh,Kurnool,Kurnool,Onion,Local,2016-01-27,530,1070
1194,Andhra_Pradesh,Kurnool,Pattikonda,Onion,Local,2016-01-28,1800,2000
