time_of_day,recharge_hits,recharge_maxtime,soft_recharge_bundle_hits,soft_recharge_bundle_maxtime,soft_recharge_airtime_hits,soft_recharge_airtime_maxtime,fetch_subscriber_info_hits,fetch_subscriber_info_maxtime,voucher_recharge_hits,voucher_recharge_maxtime
00:01,4,104,,,,,5,11,4,135
00:06,7,111,,,,,9,11,7,170
00:11,14,113,,,,,18,18,14,221
00:16,20,121,,,,,31,18,20,221
00:21,28,121,,,,,46,18,28,221
00:26,34,131,,,,,60,18,34,221
00:31,39,172,,,,,67,18,39,221
00:36,47,172,1,106,,,83,18,46,221
00:41,51,172,1,106,,,93,90,50,221
00:46,56,172,1,106,,,99,90,55,221
00:51,59,172,1,106,,,107,90,58,221
00:56,66,497,1,106,,,116,90,65,221
01:01,70,497,1,106,,,126,90,69,221
01:06,73,497,1,106,,,130,90,72,221
01:11,76,497,1,106,,,137,90,75,221
01:16,77,497,1,106,,,140,90,76,221
01:21,80,497,1,106,,,143,90,79,221
01:26,81,497,1,106,,,144,90,80,221
01:31,83,497,1,106,,,146,90,82,221
01:36,85,497,1,106,,,149,90,84,221
01:41,88,497,1,106,,,154,90,87,221
01:46,91,497,1,106,,,157,90,90,221
01:51,93,497,1,106,,,159,90,92,221
01:56,93,497,1,106,,,160,90,92,221
02:01,93,497,1,106,,,161,90,92,221
02:06,96,497,1,106,,,164,90,95,221
02:11,96,497,1,106,,,164,90,95,221
02:16,97,497,1,106,,,165,90,96,221
02:21,97,497,1,106,,,165,90,96,221
02:26,99,497,1,106,,,167,90,98,221
02:31,101,497,1,106,,,170,90,100,221
02:36,106,497,1,106,,,176,90,105,221
02:41,106,497,1,106,,,178,90,105,221
02:46,109,497,1,106,,,181,90,108,221
02:51,114,497,1,106,,,184,90,113,221
02:56,114,497,1,106,,,184,90,113,221
03:01,114,497,1,106,,,185,90,113,221
03:07,115,497,1,106,,,186,90,114,221
03:12,115,497,1,106,,,186,90,114,221
03:17,115,497,1,106,,,187,90,114,221
03:22,115,497,1,106,,,187,90,114,221
03:27,116,497,1,106,,,191,90,115,221
03:32,117,497,1,106,,,192,90,116,221
03:37,117,497,1,106,,,194,90,116,221
03:42,117,497,1,106,,,195,90,116,221
03:47,118,497,1,106,,,197,90,117,221
03:52,118,497,1,106,,,197,90,117,221
03:57,118,497,1,106,,,197,90,117,221
04:02,118,497,1,106,,,198,90,117,221
04:07,118,497,1,106,,,199,90,117,221
04:12,118,497,1,106,,,200,90,117,221
04:17,118,497,1,106,,,200,90,117,221
04:22,118,497,1,106,,,201,90,117,221
04:27,118,497,1,106,,,203,90,117,221
04:32,118,497,1,106,,,207,90,117,221
04:37,119,497,1,106,,,209,90,118,221
04:42,120,497,1,106,,,212,90,119,221
04:47,121,497,1,106,,,213,90,120,221
04:52,121,497,1,106,,,213,90,120,221
04:57,121,497,1,106,,,213,90,120,221
05:02,121,497,1,106,,,213,90,120,221
05:07,123,497,1,106,,,217,90,122,221
05:12,123,497,1,106,,,218,90,122,221
05:17,124,497,1,106,,,219,90,123,221
05:22,124,497,1,106,,,220,90,123,221
05:27,126,497,1,106,,,221,90,125,221
05:32,126,497,1,106,,,223,90,125,221
05:37,129,497,1,106,,,224,90,128,221
05:42,131,497,1,106,,,226,90,130,221
05:47,131,497,1,106,,,226,90,130,221
05:52,134,497,1,106,,,229,90,133,221
05:57,137,497,1,106,,,232,90,136,221
06:02,138,497,1,106,,,233,90,137,221
06:07,138,497,1,106,,,235,90,137,221
06:12,142,497,1,106,,,239,90,141,221
06:17,145,497,1,106,,,243,90,144,221
06:22,147,497,1,106,,,246,90,146,221
06:27,151,497,1,106,,,252,90,150,221
06:32,151,497,1,106,,,254,90,150,221
06:37,156,497,1,106,,,260,90,155,801
06:42,160,497,2,106,,,269,90,158,801
06:47,165,497,2,106,,,277,90,163,801
06:52,172,497,2,106,,,289,90,170,801
06:57,175,497,2,106,,,294,90,173,801
07:02,181,497,2,106,2,27,305,90,177,801
07:07,192,551,2,106,2,27,319,90,188,801
07:12,201,551,2,106,2,27,337,90,197,801
07:17,204,551,3,115,2,27,361,90,199,801
07:22,215,551,3,115,3,56,384,90,209,801
07:27,226,551,6,121,3,56,402,90,217,801
07:32,239,551,8,149,4,56,419,90,227,801
07:37,252,707,10,149,4,56,443,90,238,801
07:42,263,707,13,149,4,56,465,145,246,801
07:47,278,707,15,149,4,56,493,145,259,801
07:52,291,707,17,149,5,56,517,145,269,801
07:57,313,707,20,149,5,56,546,145,288,801
08:02,336,707,26,381,8,56,585,145,302,801
08:07,363,707,33,381,8,56,628,145,322,801
08:12,392,707,37,381,10,56,679,145,345,801
08:17,410,707,43,381,11,56,721,145,356,801
08:22,437,707,50,381,11,56,771,145,376,801
08:27,472,707,56,381,13,56,828,145,403,801
08:32,504,707,64,381,13,56,885,145,427,801
08:37,543,707,74,381,13,56,943,145,455,801
08:42,577,707,79,381,16,56,1002,145,481,801
08:47,611,707,88,381,17,56,1052,145,505,801
08:52,643,707,97,381,20,56,1098,145,525,801
08:57,682,707,104,381,24,56,1163,145,553,801
09:02,724,707,115,381,27,56,1235,145,581,801
09:07,768,707,124,381,34,56,1299,145,609,801
09:12,806,707,132,381,35,56,1356,145,638,801
09:17,842,707,141,381,38,56,1409,145,662,801
09:22,880,707,150,381,40,56,1462,145,689,801
09:27,910,707,157,381,44,56,1515,145,708,801
09:32,957,707,171,381,46,56,1587,145,739,801
09:37,988,707,182,381,47,56,1642,145,758,801
09:42,1029,707,194,381,50,56,1695,145,784,801
09:47,1051,707,201,381,56,56,1757,145,790,801
09:52,1082,707,206,381,64,56,1846,145,808,801
09:57,1121,707,225,381,70,56,1949,145,822,801
10:02,1140,707,234,381,72,56,2033,145,830,801
